timestamp,open_binance,high_binance,low_binance,close_binance,volume_binance,open_coinbase,high_coinbase,low_coinbase,close_coinbase,volume_coinbase,cb_gap,std_cb_gap
2024-01-01 00:00:00,42283.58,42554.57,42261.02,42475.23,1271.68108,42293.69,42548.04,42264.13,42492.52,29.68558305,17.289999999993597,1.0564074877688387
2024-01-01 01:00:00,42475.23,42775.0,42431.65,42613.56,1196.37856,42465.45,42771.7,42435.49,42618.22,28.80730959,4.6600000000034925,0.1970933194469021
2024-01-01 02:00:00,42613.57,42638.41,42500.0,42581.1,685.2198,42619.43,42630.37,42498.02,42575.4,12.87223592,-5.69999999999709,-0.5077756262239403
2024-01-01 03:00:00,42581.09,42586.64,42230.08,42330.49,794.80391,42582.97,42582.97,42218.16,42333.22,17.97900782,2.7300000000032014,0.06578086142133698
2024-01-01 04:00:00,42330.5,42399.99,42209.46,42399.99,715.4176,42328.21,42393.74,42213.22,42393.74,22.14646232,-6.25,-0.5451962748842678
2024-01-01 05:00:00,42399.98,42406.0,42180.77,42234.01,736.53152,42395.02,42395.02,42178.4,42233.98,10.25208357,-0.029999999998835847,-0.12200275730963327
2024-01-01 06:00:00,42234.01,42424.82,42208.68,42396.69,601.3725,42241.61,42430.67,42213.55,42397.66,17.50172416,0.9700000000011642,-0.053965214291216014
2024-01-01 07:00:00,42396.69,42500.0,42396.68,42492.46,653.67718,42405.33,42506.7,42401.99,42498.98,18.02925991,6.5200000000040745,0.3236431494611978
2024-01-01 08:00:00,42492.46,42556.5,42452.58,42549.99,427.19365,42490.2,42548.97,42456.34,42545.32,12.14713936,-4.669999999998254,-0.4376969569150498
2024-01-01 09:00:00,42550.0,42699.32,42537.18,42649.69,879.62491,42552.62,42691.72,42537.54,42634.23,14.16363247,-15.459999999999127,-1.1718220460838313
2024-01-01 10:00:00,42649.69,42749.36,42628.0,42691.1,856.81851,42666.0,42746.63,42629.58,42700.74,13.31114879,9.639999999999418,0.5359202836783429
2024-01-01 11:00:00,42691.1,42762.39,42605.21,42690.2,785.16567,42701.24,42758.75,42609.93,42695.66,12.40008916,5.460000000006403,0.25152335386183394
2024-01-01 12:00:00,42690.21,42780.0,42611.45,42648.38,785.52851,42693.9,42774.82,42614.75,42653.03,13.56344486,4.650000000001455,0.1964129440165793
2024-01-01 13:00:00,42648.37,42748.0,42612.76,42715.54,497.2024,42662.51,42745.33,42610.57,42721.19,11.78445403,5.650000000001455,0.2644504870349966
2024-01-01 14:00:00,42715.54,42715.55,42580.0,42612.24,711.01152,42688.52,42688.52,42583.76,42612.52,19.53946668,0.27999999999883585,-0.10091111897408234
